starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 26 20:49:54 2021	1635261594	1	1106	1107	1080
Tue Oct 26 20:50:04 2021	1635261604	1	1109	1109	1105
Tue Oct 26 20:49:53 2021	1635261593	0	1110	1110	1107
Tue Oct 26 20:50:01 2021	1635261601	0	1111	1111	1111
Tue Oct 26 20:49:55 2021	1635261595	0	1112	1112	977
Tue Oct 26 20:49:54 2021	1635261594	0	1113	1113	1088
Tue Oct 26 20:50:01 2021	1635261601	0	1113	1113	1071
Tue Oct 26 20:49:50 2021	1635261590	2	1119	1121	688
Tue Oct 26 20:49:58 2021	1635261598	0	1121	1121	702
Tue Oct 26 20:49:50 2021	1635261590	3	1119	1122	687
Tue Oct 26 20:49:50 2021	1635261590	3	1119	1123	626
Tue Oct 26 20:49:59 2021	1635261599	0	1123	1123	1123
Tue Oct 26 20:50:02 2021	1635261602	0	1125	1125	1103
Tue Oct 26 20:49:55 2021	1635261595	0	1125	1125	601
Tue Oct 26 20:49:59 2021	1635261599	0	1126	1126	1118
Tue Oct 26 20:49:53 2021	1635261593	0	1126	1126	801
Tue Oct 26 20:50:00 2021	1635261600	0	1126	1126	1126
Tue Oct 26 20:50:04 2021	1635261604	0	1127	1127	1126
Tue Oct 26 20:49:52 2021	1635261592	0	1127	1127	1010
Tue Oct 26 20:50:01 2021	1635261601	0	1127	1127	1101
Tue Oct 26 20:49:53 2021	1635261593	0	1127	1128	580
Tue Oct 26 20:49:53 2021	1635261593	0	1131	1131	791
Tue Oct 26 20:49:54 2021	1635261594	0	1131	1131	1095
Tue Oct 26 20:49:53 2021	1635261593	0	1131	1131	1087
Tue Oct 26 20:49:54 2021	1635261594	1	1132	1132	1120
Tue Oct 26 20:49:58 2021	1635261598	0	1133	1133	1119
Tue Oct 26 20:50:00 2021	1635261600	0	1136	1136	1125
Tue Oct 26 20:50:02 2021	1635261602	0	1137	1137	1132
Tue Oct 26 20:49:58 2021	1635261598	2	1136	1139	1130
Tue Oct 26 20:50:00 2021	1635261600	0	1139	1139	1086
Tue Oct 26 20:50:03 2021	1635261603	0	1139	1139	1139
Tue Oct 26 20:50:03 2021	1635261603	0	1141	1141	774
Tue Oct 26 20:49:50 2021	1635261590	2	1142	1144	1141
Tue Oct 26 20:50:00 2021	1635261600	0	1146	1147	1145
Tue Oct 26 20:50:04 2021	1635261604	0	1147	1147	996
Tue Oct 26 20:49:54 2021	1635261594	0	1147	1148	1147
Tue Oct 26 20:49:53 2021	1635261593	0	1149	1149	517
Tue Oct 26 20:49:51 2021	1635261591	0	1149	1149	1131
Tue Oct 26 20:49:50 2021	1635261590	5	1144	1150	725
Tue Oct 26 20:49:52 2021	1635261592	0	1149	1150	1146
Tue Oct 26 20:49:52 2021	1635261592	0	1152	1152	1151
Tue Oct 26 20:49:58 2021	1635261598	0	1154	1154	1153
Tue Oct 26 20:50:01 2021	1635261601	0	1155	1155	1129
Tue Oct 26 20:50:00 2021	1635261600	0	1156	1157	1108
Tue Oct 26 20:49:54 2021	1635261594	1	1156	1157	698
Tue Oct 26 20:49:58 2021	1635261598	0	1158	1158	1147
Tue Oct 26 20:49:58 2021	1635261598	0	1159	1159	785
Tue Oct 26 20:50:00 2021	1635261600	0	1160	1160	1155
Tue Oct 26 20:49:50 2021	1635261590	0	1163	1163	1162
Tue Oct 26 20:49:57 2021	1635261597	0	1163	1163	1156
Tue Oct 26 20:49:55 2021	1635261595	8	1156	1164	1155
Tue Oct 26 20:49:52 2021	1635261592	0	1165	1165	1161
Tue Oct 26 20:49:58 2021	1635261598	0	1165	1165	777
Tue Oct 26 20:50:03 2021	1635261603	0	1165	1165	1164
Tue Oct 26 20:49:58 2021	1635261598	0	1166	1166	1165
Tue Oct 26 20:50:04 2021	1635261604	0	1167	1167	1154
Tue Oct 26 20:49:52 2021	1635261592	0	1168	1168	905
Tue Oct 26 20:49:50 2021	1635261590	2	1167	1169	1163
Tue Oct 26 20:49:50 2021	1635261590	2	1167	1169	1164
Tue Oct 26 20:49:50 2021	1635261590	2	1169	1171	1168
Tue Oct 26 20:49:53 2021	1635261593	0	1172	1172	1171
Tue Oct 26 20:49:50 2021	1635261590	5	1168	1173	1167
Tue Oct 26 20:49:50 2021	1635261590	2	1171	1173	1171
Tue Oct 26 20:49:51 2021	1635261591	0	1174	1174	1173
Tue Oct 26 20:49:50 2021	1635261590	6	1170	1176	778
Tue Oct 26 20:50:00 2021	1635261600	1	1175	1176	1174
Tue Oct 26 20:49:52 2021	1635261592	0	1177	1177	1113
Tue Oct 26 20:50:00 2021	1635261600	0	1178	1178	1170
Tue Oct 26 20:49:55 2021	1635261595	0	1179	1180	922
Tue Oct 26 20:49:58 2021	1635261598	0	1181	1181	1180
Tue Oct 26 20:50:00 2021	1635261600	0	1181	1182	1181
Tue Oct 26 20:49:51 2021	1635261591	0	1182	1182	1181
Tue Oct 26 20:49:52 2021	1635261592	0	1182	1182	933
Tue Oct 26 20:50:01 2021	1635261601	0	1183	1183	1141
Tue Oct 26 20:49:59 2021	1635261599	0	1185	1185	1184
Tue Oct 26 20:49:50 2021	1635261590	2	1186	1188	797
Tue Oct 26 20:49:55 2021	1635261595	0	1188	1188	907
Tue Oct 26 20:49:50 2021	1635261590	3	1187	1189	711
